              0            1            2            3            4  \
0     60.269803    60.180064    60.177517    60.318356    60.574474
1     11.487499    11.602143    12.191196    13.369273    12.005738
2    180.090000   195.310000   213.480000   146.850000   275.860000
3     23.486600     3.440000     3.416000     8.002900     8.260100
4     19.477000    13.888000    14.197000    20.520000    22.540000
5     17.472700    16.677000    17.017800    18.224300    17.413700
6      5.025000     3.746500     3.541000     2.768500     3.039000
7      0.890098     0.832194     0.841703     0.831583     0.862540
8      1.793781     2.968769     2.924317     1.891954     1.918555
9     16.166586    67.099294    59.930953    42.207516    31.595322
10     1.306685     1.356812     1.329016     1.410818     1.268255
11     6.837250     7.263850     7.150200     7.037600     7.142850
12     1.076419     3.494989     3.161810     2.186018     1.911995
13     4.808468     5.626145     6.134130     7.311170     6.433140
14     0.402592     0.405622     0.357545     0.451383     0.359762
15     3.504500     4.767000     5.008500     4.926000     5.738500
16   155.579000   141.905500   116.975000   191.235500   129.638500
17  3514.230000  3277.270000  2890.620000  2762.620000  3397.950000
18    -0.240000     1.440000     1.430000     1.080000     1.570000
19    36.294900    54.918800    53.942700    59.330900    58.605600
20   246.180000   339.400000   334.130000   386.800000   346.510000
21     3.398000     4.718000     4.689000     4.340000     4.983000
22     2.967300     3.019400     3.341500     4.077900     4.565900
23    29.656700    47.944400    42.361900    39.855400    21.556800
24     0.751700     0.968400     0.959000     1.043200     1.140400
25   326.952200   307.487900   279.385700   365.572800   356.044400
26     0.048500     0.059500     0.060100     0.062500     0.074900
27     0.843700     1.011300     0.985000     1.148400     1.127200
28     0.081400     0.119000     0.117900     0.126900     0.125200
29     0.333453     0.327381     0.330676     0.451173     0.361873
30     0.032330     0.024874     0.027284     0.028948     0.044875
31    11.131264     9.546490     9.840175    10.889497     9.674997
32     0.210140     0.232077     0.221430     0.196323     0.189995
33    32.860000    34.820000    35.260000    36.890000    30.700000
34    40.513400    33.923900    30.819700    51.688900    32.463300
35    12.650000    10.500000    10.480000    11.500000    10.150000
36     6.230000     5.010000     4.930000     4.530000     4.430000
37     6.800000     4.770000     5.010000     7.080000     5.880000
38     7.300000     6.860000     7.000000     8.570000     9.280000
39   173.691991   184.652933   190.640958   198.368491   199.176214
40   177.783662   187.993758   195.154218   203.527477   205.865651
              5            6            7            8            9  \
0     59.916994    59.822006    60.621262    60.321072    60.215232
1     12.485378    10.721502    12.234126    12.630638    11.080343
2    126.890000   137.630000   250.060000   216.150000   433.940000
3      4.624100     3.555700    12.331500     4.443100     5.475900
4     15.670000    13.623000    10.094000    22.581000    29.415000
5     17.815300    18.321900    18.776500    17.761100    16.457500
6      2.582500     2.418500     1.570500     2.863500     3.499500
7      0.848093     0.857375     0.837382     0.792405     0.892190
8      2.184588     2.087788     3.006849     3.926763     1.567769
9     35.213038   179.983711    71.941742    36.406392    79.571497
10     1.330405     1.411344     1.205566     1.228275     1.181119
11     7.109150     7.413050     7.045100     6.979050     7.407800
12     2.303321     2.562309     1.528703     1.349081     3.632444
13     7.147170     6.503622     9.243135     8.855695     4.826182
14     0.466369     0.751795     0.354683     0.306236     0.268861
15     5.361500     7.394500    11.625500     4.510000     4.385500
16   162.286500   421.619500    22.791500    82.318500    57.679000
17  3881.550000  2384.290000  3067.350000  4458.600000  2481.760000
18     1.660000     2.760000     5.790000    -0.230000    -0.130000
19    91.111300    89.859500   163.664300    60.222400    81.520100
20   407.110000   519.800000   920.050000   411.240000   363.590000
21     4.168000     6.745000     9.316000     4.491000     4.878000
22     4.763900     9.763000    10.951000     3.404700     3.600000
23    36.073400    67.061400    59.555800    57.404100    47.891100
24     1.007200     1.180800     1.887600     1.016000     0.889400
25   374.389200   328.646200   332.046000   264.322000   375.691400
26     0.065100     0.071400     0.129200     0.095100     0.069400
27     0.999900     0.959900     1.585500     2.113700     0.879400
28     0.100400     0.238000     0.384800     0.225100     0.126500
29     0.619833     1.102919     0.600517     0.372167     0.295443
30     0.030314     0.011464     0.067644     0.043998     0.024745
31    10.319606    12.013766    14.522738    10.254793     9.209999
32     0.191403     0.155412     0.175854     0.187196     0.173586
33    37.130000    32.060000    43.300000    34.030000    31.490000
34    49.074100    58.840400    48.882900    31.241000    17.672600
35    10.980000     9.560000    10.480000    11.200000    11.010000
36     4.850000     4.090000     4.100000     4.460000     4.050000
37     5.680000     5.200000     6.800000     7.280000     6.690000
38     8.950000     5.930000     6.860000     7.130000     6.660000
39   199.402602   190.050454   248.778281   232.296395   197.067458
40   242.995856   190.131568   246.519803   237.355966   191.536412
             10           11           12           13           14  \
0     60.984001    60.426935    59.686601    60.949730    60.338816
1     12.444442    12.171770    15.492069    11.305095    12.016426
2    396.490000   177.780000   112.120000   459.390000   224.020000
3     32.407400     3.789800     8.227700    10.950100     6.110600
4     51.175000    13.325000    27.640000    17.755000    16.501000
5     15.760600    17.955500    19.864600    16.325700    16.307800
6      2.134000     2.679000     2.659500     2.298000     2.055500
7      0.845240     0.788224     0.875743     0.839837     0.723999
8      2.629229     3.599363     1.398990     3.184186     4.711224
9     15.850525    76.571044    33.865970    20.254036    32.587708
10     1.269925     1.237266     1.139006     1.248650     1.221719
11     6.700300     6.819800     7.552250     6.874850     6.629900
12     1.015844     1.654257     3.610652     1.104350     0.930352
13     8.387475     9.473630     8.161995     7.426637     9.685172
14     0.315329     0.362839     0.402133     0.286039     0.435083
15     4.370000     7.932000     9.436000     6.505500     7.326500
16    84.210000    54.949500    33.104500    52.806000   113.322500
17  3538.580000  2751.820000  1554.110000  2678.120000  4567.630000
18     1.220000     1.610000     2.010000     2.130000     1.480000
19    36.459500    86.090300    82.550900    69.666600    48.994700
20   247.590000   568.310000   516.370000   412.860000   469.760000
21     4.017000     7.193000     6.130000     5.997000     5.083000
22     2.495500     5.118900     4.075900     4.217500     2.537400
23     8.630600    41.521000    35.697600    17.965900    16.237100
24     1.498500     1.343100     1.069000     1.269300     1.357700
